,No. of bombers,No. of fighters,No. of UAVs,Deterrence Mission Delays,Escort Mission Delays,Recon Mission Delays
161,4,10,12,14.246110277292335,17.22652549994613,3.1752654315371767
162,4,10,12,14.36437214812401,16.76550843857314,2.8450128367446776
163,4,10,12,14.381666974379366,16.780626338390917,3.1864444859460885
164,4,10,12,14.663543497974349,19.37709543765796,3.0975946564394317
165,4,10,12,14.466985484099387,18.765517406704006,2.961791644533036
166,4,10,12,14.324395588196708,17.095318124258668,3.182196673355426
167,4,10,12,14.849162034950934,17.738272829266826,3.0261957387820706
168,6,10,8,10.294640266592761,6.050630022944326,4.674341189689834
169,6,10,8,10.44375787281899,6.19377098904167,4.754823449334845
170,6,10,8,10.448140027831936,6.277649267755545,4.603837937440295
171,6,10,8,10.71238158389128,6.116446212920911,4.744313053942866
172,6,10,8,10.340526087361754,6.347382956882033,4.3391723706464065
173,6,10,8,10.493603761049314,6.437473012888179,4.793059363129149
174,6,10,8,10.360806185069018,6.24951946987783,3.9594087090818477
175,6,10,8,11.34089820788456,6.728262383913728,4.344261888497886
176,6,10,10,10.540430902094808,7.110467416588429,3.400412866889421
177,6,10,10,11.400712692903946,8.351223733621266,4.120706301295136
178,6,10,10,11.380894441714934,7.9197156204565,3.676172859235093
179,6,10,10,11.392957574653213,7.68891580224049,4.025886071811815
180,6,10,10,10.825323689684765,7.189956438421203,3.701933865925724
181,6,10,10,10.609448427457428,6.428744346767667,3.4117966095151298
182,6,10,10,11.757428537452078,7.8072706415178255,4.047772685081968
183,6,10,10,11.022449941831828,6.978188191370402,3.796295605077962
184,6,10,12,11.159123354035405,7.98426705662706,3.3192069253450813
185,6,10,12,12.202049458934276,8.684044831055646,3.653527158889071
186,6,10,12,11.064735715175978,7.148937624778217,3.3132828653448096
187,6,10,12,10.919187474299136,7.730202780212422,3.305001106272052
188,6,10,12,10.984260494521996,7.972292594966714,3.3262282346113223
189,6,10,12,11.604667223816602,7.955380672387892,3.4839459999813647
190,6,10,12,12.459971856077397,8.885579608140295,3.7684459109692883
191,6,10,12,11.917649332691555,8.365800274766938,3.698368725018276
192,8,10,8,10.764152789487524,7.303010016986231,5.3566371506189565
193,8,10,8,11.895068355312668,8.538914281930765,5.534630020287234
194,8,10,8,10.201005316765924,6.57157790178009,4.754117740619117
195,8,10,8,11.282746767359042,7.786907285593276,5.309535177852196
196,8,10,8,12.295231948722352,8.97479731274023,5.729064335894205
197,8,10,8,12.117130415293163,8.621434044668776,5.123252315459881
198,8,10,8,11.182746646303288,7.852526016509476,5.111847738182977
199,8,10,8,10.83464299875022,7.096577783105021,5.133525209359579
200,8,10,10,15.485007519029736,12.43115812408068,5.859573974793052
201,8,10,10,13.478823153310444,10.459809369834124,5.108922122953752
202,8,10,10,15.47498439988843,12.72484670993283,5.94740520156293
203,8,10,10,13.009631744295394,9.585146395447694,5.171555015782181
204,8,10,10,15.161534583855572,11.874040350655793,5.863152939613791
205,8,10,10,16.285323652180065,13.349223198352702,6.220217422272842
206,8,10,10,11.717740615623574,8.749941437491762,4.6991854931189545
207,8,10,10,12.758965077334858,9.2797616880654,5.085498631159129
208,8,10,12,15.799327352531355,13.379996798009369,5.119978795365732
209,8,10,12,15.304831814036609,12.62349246627266,5.1045952147572535
210,8,10,12,14.943516031980208,11.775651853118875,5.370464275217794
211,8,10,12,17.571275615855324,14.668807592366258,6.109858700820599
212,8,10,12,16.81971047822878,14.222496684764486,5.44562015291088
213,8,10,12,14.905320329185452,11.477165693854147,5.221864837538976
214,8,10,12,17.693165209117,14.923246047925266,5.8932265760671125
215,8,10,12,14.204964674741845,10.847813954343096,4.774939316603842
216,4,6,8,12.425862081485482,12.54707667886633,2.4997214585516354
217,4,6,8,11.618411772454829,13.10637677664473,1.986107230386786
218,4,6,8,11.731605417229792,12.546530551366777,2.4283199758841945
219,4,6,8,12.007432886776453,11.948238737260297,1.9281237624620564
220,4,6,8,11.944359434088257,11.81966776209771,2.423714042419772
221,4,6,8,11.780844679217346,11.16028287732666,2.2623480644738243
222,4,6,8,11.599967107680405,13.902290915082661,2.1316288816193403
223,4,6,8,11.790761276149365,11.209227351033695,2.2547510894618683
224,4,6,10,13.729021244958098,15.694898111447117,1.723120477031666
225,4,6,10,13.880024372433882,14.782780965913169,1.8751305270718899
226,4,6,10,13.31130190687885,15.935248200426038,1.7626320323432636
227,4,6,10,13.796260883443558,16.17063289045978,1.80402475574646
228,4,6,10,13.455704560802355,13.410101246687537,1.9030110612358158
229,4,6,10,13.258854260320884,15.70731633215115,1.8014978478427368
230,4,6,10,13.28445938029632,13.930001975603767,2.0389279991669786
231,4,6,10,13.415215850334882,14.434423157081458,1.6606672388678814
232,4,6,12,14.899168266426361,18.208462055651108,1.436909101646608
233,4,6,12,14.1129517246573,16.183460315603693,1.5619307486033696
234,4,6,12,14.888481520082427,15.711674833953024,1.3973196219005817
235,4,6,12,14.645254694033804,15.530771356095448,1.2944790292953843
236,4,6,12,14.719903736244483,16.64153046193926,1.3975022368968055
237,4,6,12,13.97906312015113,16.210302524051343,1.487190839937289
238,4,6,12,14.353636617060708,17.682296007016145,1.5342885188572006
239,4,6,12,13.85323669149812,16.747380611811373,1.446801083256717
240,6,6,8,9.464128508072456,6.981918786078005,1.9988702164880479
241,6,6,8,9.189374668689375,6.428505200875954,1.8133684572817763
242,6,6,8,9.278539402694685,6.051632628907421,1.8366069318880829
243,6,6,8,9.068312882909378,6.382956670068041,1.914805049885222
244,6,6,8,9.243011334963795,7.459705461198777,1.8546232694383504
245,6,6,8,9.144646923103428,6.072756446606808,1.8511214294692468
246,6,6,8,8.970370704831486,6.02819216694263,1.9896886930007736
247,6,6,8,9.035515045151913,6.415441106234079,1.6624858052659703
248,6,6,10,9.989102918566015,7.110202354301131,1.483888703266902
249,6,6,10,10.209048458802481,7.753933141508828,1.409741178054318
250,6,6,10,9.958545738621096,7.493038515691597,1.4536966302574372
251,6,6,10,10.536205986911517,8.33079303301524,1.4397553379234318
252,6,6,10,10.197147562158353,7.539120415441578,1.4170677208739013
253,6,6,10,10.669526946784506,7.686301079296823,1.3199933420922125
254,6,6,10,9.948761110905648,7.628861307453468,1.3596981138244006
255,6,6,10,10.074167029940583,7.9329548402788355,1.400008041249414
256,6,6,12,10.976324622855975,8.775835350999571,1.1309290781267884
257,6,6,12,11.081100780811655,8.985256577854246,1.1162359821500814
258,6,6,12,11.160485792545005,9.307081772133513,1.1558125372475683
259,6,6,12,11.280581756056005,8.922090230162915,1.1748764916189207
260,6,6,12,10.891857846608252,9.445916612680426,1.3055803503288133
261,6,6,12,11.193219349215376,9.17633851394118,1.0989429015241379
262,6,6,12,10.713471336588455,9.039870844939378,1.1223259848773042
263,6,6,12,11.020519520850076,9.05582865507427,1.2599290879843206
264,8,6,8,7.238021916177296,5.426234280428286,1.4846627617945958
265,8,6,8,7.236625725064039,5.717646295541812,1.5619118222475858
266,8,6,8,7.217965513711756,5.068878091560758,1.5041039751326843
267,8,6,8,8.383125290400395,5.816127143390685,1.97886886138673
268,8,6,8,7.100803520115201,5.040421191987953,1.2513346803141527
269,8,6,8,7.329959266641591,5.490726396490636,1.4174780211600109
270,8,6,8,6.984989455507186,5.074150604967652,1.571244562762723
271,8,6,8,7.373565466675107,5.471275270526621,1.4436537880823568
272,8,6,10,8.159845204465071,6.247573070677954,1.1511957358733118
273,8,6,10,8.393127686697952,6.525318844357705,1.1455385786049954
274,8,6,10,7.759760217401374,5.806225248264187,1.2666777948282495
275,8,6,10,7.892681825280216,6.413973005318404,1.220340554731584
276,8,6,10,8.179423271452636,6.153805611522976,1.1049988390054335
277,8,6,10,7.769482675136512,5.479376953694513,1.1970700615008283
278,8,6,10,7.63759324807208,5.6309893888858005,1.2485231742773022
279,8,6,10,8.016676740682344,6.158027160296102,1.25977296534936
280,8,6,12,8.801334603277171,7.141256013605929,1.074619257485783
281,8,6,12,8.789695035454384,6.984416726037835,0.9940614310078673
282,8,6,12,8.674945130176845,7.478747283552922,1.0470701785554384
283,8,6,12,8.655414032845576,7.141308717001516,1.0035399175958422
284,8,6,12,8.696563138682372,7.3125713151145275,1.019657511038202
285,8,6,12,8.91533649611903,7.148139079801555,1.1698909784007958
286,8,6,12,8.400770539510123,6.5989483554414825,0.9508139014089347
287,8,6,12,8.961280817850795,7.073087832059024,0.9682222254087717
288,4,8,8,11.88089020154879,14.344841143576382,2.311188781984472
289,4,8,8,12.449500011733017,12.60699921762172,2.11732843915078
290,4,8,8,11.628423088971308,12.045423634512256,2.143757916978751
291,4,8,8,11.469874576259329,11.631080055965183,2.065157931466251
292,4,8,8,11.11044754274515,12.910083708882967,2.261099739771463
293,4,8,8,11.26973044311947,12.35949540734938,2.1802932576700407
294,4,8,8,11.278182664428456,10.666545905817218,2.3496811196435186
295,4,8,8,11.522501695146781,12.845450627202418,2.138183769366166
296,4,8,10,12.777267940505114,13.484940382203172,1.6547518154585914
297,4,8,10,12.836911747311465,14.712340545065576,1.5943144671459166
298,4,8,10,12.831819836732945,14.987133007775046,1.5796429636385156
299,4,8,10,13.759868975386569,14.830360115967348,1.8778610103237168
300,4,8,10,13.937366142471856,15.015306444880295,1.695961113768696
301,4,8,10,13.397331515897672,15.939207667822398,1.9452403099158095
302,4,8,10,13.023253840429454,14.483249829817439,1.7862594451921776
